,c_inst_name_code,c_inst_code,c_inst_code_new,c_new_new_code
1013,542,139536,1,1013
1014,543,139694,1,1014
1015,544,139513,1,1015
1016,545,138402,1,1016
1017,546,138403,1,1017
1018,546,138404,2,1018
1019,546,139685,3,1019
1020,547,139856,1,1020
1021,548,138412,1,1021
1022,548,138413,2,1022
1023,548,139444,3,1023
1024,548,140050,4,1024
1025,548,140232,5,1025
1026,548,140511,6,1026
1027,549,140003,1,1027
1028,550,138414,1,1028
1029,551,138416,1,1029
1030,552,138417,1,1030
1031,553,138418,1,1031
1032,554,138419,1,1032
1033,555,138420,1,1033
1034,555,138421,2,1034
1035,555,139512,3,1035
1036,556,140119,1,1036
1037,557,138439,1,1037
1038,558,138440,1,1038
1039,559,140522,1,1039
1040,560,138426,1,1040
1041,560,138427,2,1041
1042,560,139578,3,1042
1043,560,139763,4,1043
1044,560,140427,5,1044
1045,561,138428,1,1045
1046,562,138424,1,1046
1047,562,138425,2,1047
1048,563,139511,1,1048
1049,564,138429,1,1049
1050,564,138430,2,1050
1051,564,139716,3,1051
1052,564,139936,4,1052
1053,564,139954,5,1053
1054,564,140171,6,1054
1055,564,140443,7,1055
1056,565,138431,1,1056
1057,566,138432,1,1057
1058,567,140527,1,1058
1059,568,138434,1,1059
1060,569,140041,1,1060
1061,569,140090,2,1061
1062,570,138435,1,1062
1063,571,138436,1,1063
1064,572,138437,1,1064
1065,572,139980,2,1065
1066,573,138438,1,1066
1067,574,140132,1,1067
1068,575,138441,1,1068
1069,575,138442,2,1069
1070,575,140030,3,1070
1071,576,138443,1,1071
1072,577,139609,1,1072
1073,578,139835,1,1073
1074,579,139935,1,1074
1075,580,138444,1,1075
1076,581,138445,1,1076
1077,582,140172,1,1077
1078,583,138422,1,1078
1079,583,138423,2,1079
1080,583,140014,3,1080
1081,584,140409,1,1081
1082,585,138415,1,1082
1083,586,140320,1,1083
1084,587,139747,1,1084
1085,588,138446,1,1085
1086,588,138447,2,1086
1087,588,138448,3,1087
1088,588,138449,4,1088
1089,588,138450,5,1089
1090,588,138451,6,1090
1091,588,138452,7,1091
1092,588,140019,8,1092
1093,588,140029,9,1093
1094,588,140256,10,1094
1095,589,138453,1,1095
1096,589,139764,2,1096
1097,589,140184,3,1097
1098,590,138454,1,1098
1099,591,140196,1,1099
1100,592,139480,1,1100
1101,593,139514,1,1101
1102,594,138411,1,1102
1103,595,140488,1,1103
1104,596,140512,1,1104
1105,597,139617,1,1105
1106,598,140144,1,1106
1107,599,138480,1,1107
1108,600,138477,1,1108
1109,600,138478,2,1109
1110,600,138479,3,1110
1111,601,140134,1,1111
1112,602,138457,1,1112
1113,602,138458,2,1113
1114,602,138459,3,1114
1115,602,139470,4,1115
1116,602,139635,5,1116
1117,603,140332,1,1117
1118,604,139494,1,1118
1119,605,138481,1,1119
1120,606,140368,1,1120
1121,607,138483,1,1121
1122,608,139928,1,1122
1123,609,138455,1,1123
1124,610,138484,1,1124
1125,610,138485,2,1125
1126,610,138486,3,1126
1127,610,139599,4,1127
1128,610,140043,5,1128
1129,611,139896,1,1129
1130,612,139809,1,1130
1131,613,139447,1,1131
1132,614,138456,1,1132
1133,614,139481,2,1133
1134,615,139517,1,1134
1135,616,139448,1,1135
1136,617,138488,1,1136
1137,618,138489,1,1137
1138,619,138490,1,1138
1139,619,138491,2,1139
1140,620,138499,1,1140
1141,621,138492,1,1141
1142,621,138493,2,1142
1143,621,138494,3,1143
1144,621,138495,4,1144
1145,621,138496,5,1145
1146,621,138497,6,1146
1147,621,138498,7,1147
1148,621,139629,8,1148
1149,621,139669,9,1149
1150,621,139678,10,1150
1151,621,139732,11,1151
1152,621,139906,12,1152
1153,621,140133,13,1153
1154,622,140291,1,1154
1155,623,139748,1,1155
1156,624,138500,1,1156
1157,625,138501,1,1157
1158,626,138503,1,1158
1159,627,138504,1,1159
1160,627,138505,2,1160
1161,628,138502,1,1161
1162,629,140257,1,1162
1163,630,140364,1,1163
1164,631,138507,1,1164
1165,632,138508,1,1165
1166,632,140112,2,1166
1167,633,138510,1,1167
1168,634,138509,1,1168
1169,635,138506,1,1169
1170,636,139687,1,1170
1171,637,140395,1,1171
1172,638,138511,1,1172
1173,638,138512,2,1173
1174,639,139788,1,1174
1175,640,140007,1,1175
1176,641,138513,1,1176
1177,642,138514,1,1177
1178,643,138515,1,1178
1179,644,138516,1,1179
1180,645,140496,1,1180
1181,646,138517,1,1181
1182,647,138522,1,1182
1183,647,138523,2,1183
1184,647,138524,3,1184
1185,647,138525,4,1185
1186,647,139418,5,1186
1187,647,139737,6,1187
1188,647,140148,7,1188
1189,647,140552,8,1189
1190,648,138526,1,1190
1191,648,140053,2,1191
1192,649,139587,1,1192
1193,650,138527,1,1193
1194,651,138528,1,1194
1195,652,139491,1,1195
1196,653,140348,1,1196
1197,654,138529,1,1197
1198,655,138530,1,1198
1199,656,138531,1,1199
1200,657,140289,1,1200
1201,658,140057,1,1201
1202,659,138532,1,1202
1203,660,138533,1,1203
1204,660,139749,2,1204
1205,661,138534,1,1205
1206,661,138535,2,1206
1207,661,138536,3,1207
1208,661,139994,4,1208
1209,662,138537,1,1209
1210,662,138538,2,1210
1211,663,139389,1,1211
1212,664,140106,1,1212
1213,665,140280,1,1213
1214,666,138571,1,1214
1215,666,139432,2,1215
1216,667,139544,1,1216
1217,667,139867,2,1217
1218,668,138572,1,1218
1219,669,139529,1,1219
1220,670,139705,1,1220
1221,671,138573,1,1221
1222,672,138574,1,1222
1223,673,138575,1,1223
1224,673,138576,2,1224
1225,674,138518,1,1225
1226,675,138519,1,1226
1227,675,138520,2,1227
1228,675,140060,3,1228
1229,675,140224,4,1229
1230,676,138521,1,1230
1231,677,140548,1,1231
1232,678,139697,1,1232
1233,679,138543,1,1233
1234,679,138544,2,1234
1235,679,140227,3,1235
1236,680,138539,1,1236
1237,680,138540,2,1237
1238,680,139523,3,1238
1239,680,140154,4,1239
1240,681,138546,1,1240
1241,682,139385,1,1241
1242,683,138547,1,1242
1243,684,140281,1,1243
1244,685,138549,1,1244
1245,685,138550,2,1245
1246,685,138551,3,1246
1247,685,138552,4,1247
1248,685,139584,5,1248
1249,686,138553,1,1249
1250,686,138554,2,1250
1251,686,140199,3,1251
1252,687,138555,1,1252
1253,687,139638,2,1253
1254,688,138556,1,1254
