index,c_office_id,c_office_type_id,c_office_tree_id,c_office_type_type_code,c_office_l1,c_office_l2,c_office_l3,c_office_l4,c_office_l5
458,628,011040103,1503020103,0,0,0,0,0,0
459,629,011040103,1503020103,0,0,0,0,0,0
460,630,011040103,1503020103,0,0,0,0,0,0
461,631,011040301,1503020301,0,0,0,0,0,0
462,632,011040600,15030206,0,0,0,0,0,0
463,633,011040600,15030206,0,0,0,0,0,0
464,634,011100200,150802,0,0,0,0,0,0
465,636,011030100,15030101,0,0,0,0,0,0
466,638,011040711,1503020711,0,0,0,0,0,0
467,639,011040711,1503020711,0,0,0,0,0,0
468,640,9999,1599,0,0,0,0,0,0
469,641,9999,1599,0,0,0,0,0,0
470,642,011030100,15030101,0,0,0,0,0,0
471,643,9999,1599,0,0,0,0,0,0
472,645,9999,1599,0,0,0,0,0,0
473,646,011030300,15030103,0,0,0,0,0,0
474,647,011030300,15030103,0,0,0,0,0,0
475,649,011030700,15030107,0,0,0,0,0,0
476,651,9999,1599,0,0,0,0,0,0
477,652,9999,1599,0,0,0,0,0,0
478,655,9999,1599,0,0,0,0,0,0
479,656,011090305,15070305,0,0,0,0,0,0
480,657,011020400,150204,0,0,0,0,0,0
481,658,9999,1599,0,0,0,0,0,0
482,659,9999,1599,0,0,0,0,0,0
483,663,9999,1599,0,0,0,0,0,0
484,666,011040301,1503020301,0,0,0,0,0,0
485,667,011040800,15030208,0,0,0,0,0,0
486,669,011040800,15030208,0,0,0,0,0,0
487,670,011040101,1503020101,0,0,0,0,0,0
488,673,011030400,15030104,0,0,0,0,0,0
489,675,011030400,15030104,0,0,0,0,0,0
490,676,011030400,15030104,0,0,0,0,0,0
491,677,011031200,15030112,0,0,0,0,0,0
492,678,011040710,1503020710,0,0,0,0,0,0
493,679,9999,1599,0,0,0,0,0,0
494,680,011010300,150103,0,0,0,0,0,0
495,681,011010300,150103,0,0,0,0,0,0
496,682,011070900,15060109,0,0,0,0,0,0
497,683,011040306,1503020306,0,0,0,0,0,0
498,684,011040700,15030207,0,0,0,0,0,0
499,685,011080400,15060204,0,0,0,0,0,0
500,685,011090202,15070202,0,0,0,0,0,0
501,686,011050400,150404,0,0,0,0,0,0
502,687,011050400,150404,0,0,0,0,0,0
503,688,011080400,15060204,0,0,0,0,0,0
504,688,011090202,15070202,0,0,0,0,0,0
505,689,9999,1599,0,0,0,0,0,0
506,691,011030100,15030101,0,0,0,0,0,0
507,692,011080400,15060204,0,0,0,0,0,0
508,693,011080400,15060204,0,0,0,0,0,0
509,693,011090202,15070202,0,0,0,0,0,0
510,694,9999,1599,0,0,0,0,0,0
511,696,9999,1599,0,0,0,0,0,0
512,697,011040710,1503020710,0,0,0,0,0,0
513,698,011040710,1503020710,0,0,0,0,0,0
514,700,011040708,1503020708,0,0,0,0,0,0
515,701,011040708,1503020708,0,0,0,0,0,0
516,702,011040708,1503020708,0,0,0,0,0,0
517,703,011040708,1503020708,0,0,0,0,0,0
518,704,9999,1599,0,0,0,0,0,0
519,706,011040400,15030204,0,0,0,0,0,0
520,707,011040400,15030204,0,0,0,0,0,0
521,709,011030100,15030101,0,0,0,0,0,0
522,710,011100100,150801,0,0,0,0,0,0
523,712,011040710,1503020710,0,0,0,0,0,0
524,713,9999,1599,0,0,0,0,0,0
525,714,011040800,15030208,0,0,0,0,0,0
526,715,011030100,15030101,0,0,0,0,0,0
527,716,011040701,1503020701,0,0,0,0,0,0
528,718,011040701,1503020701,0,0,0,0,0,0
529,719,011030300,15030103,0,0,0,0,0,0
530,720,9999,1599,0,0,0,0,0,0
531,721,011040701,1503020701,0,0,0,0,0,0
532,722,011040701,1503020701,0,0,0,0,0,0
533,723,011040701,1503020701,0,0,0,0,0,0
534,725,011040709,1503020709,0,0,0,0,0,0
535,726,011040709,1503020709,0,0,0,0,0,0
536,727,011040709,1503020709,0,0,0,0,0,0
537,728,011040709,1503020709,0,0,0,0,0,0
538,729,011030100,15030101,0,0,0,0,0,0
539,730,011040705,1503020705,0,0,0,0,0,0
540,731,011040705,1503020705,0,0,0,0,0,0
541,732,011040705,1503020705,0,0,0,0,0,0
542,733,011030100,15030101,0,0,0,0,0,0
543,734,011030100,15030101,0,0,0,0,0,0
544,734,011090306,15070306,0,0,0,0,0,0
545,735,011040710,1503020710,0,0,0,0,0,0
546,736,011040710,1503020710,0,0,0,0,0,0
