index,c_personid,c_inst_name_code,c_inst_code,c_bi_role_code,c_bi_begin_year,c_bi_by_nh_code,c_bi_by_nh_year,c_bi_by_range,c_bi_end_year,c_bi_ey_nh_code,c_bi_ey_nh_year,c_bi_ey_range,c_source,c_pages,c_secondary_source_author,c_notes,c_created_by,c_created_date,c_modified_by,c_modified_date,tts_sysno
143,113207,79,149,20,,,,,,,,,9599.0,14155,,元代釋宗衍113207居嘉禾德藏寺,,,,,126.0
144,113207,189,356,20,,,,,,,,,9599.0,14155,,元代釋宗衍113207居石湖楞伽寺,,,,,127.0
145,113208,103,179,20,,,,,,,,,9599.0,14156,,元代釋宗偉113208居奉恩寺,,,,,128.0
146,113209,246,475,20,,,,,,,,,9599.0,14157,,元代釋宗照113209居盤龍寺,,,,,129.0
147,113211,51,98,20,,,,,,,,,9599.0,14159,,元代釋定演113211居大都崇國寺,,,,,130.0
148,113213,348,769,20,,,,,,,,,9599.0,14161,,元代釋念常113213居嘉興祥符寺,,,,,131.0
149,113221,339,755,20,,,,,,,,,9599.0,14169,,元代釋法印113221居五臺山文殊寺,,,,,132.0
150,113224,331,726,20,,,,,,,,,9599.0,14173,,元代釋法空113224居居忻州萬安 禪院,,,,,133.0
151,113230,66,127,20,,,,,,,,,9599.0,14179,,元代釋法喜113230居邠州大開元寺,,,,,134.0
152,113230,138,224,20,,,,,,,,,9599.0,14179,,元代釋法喜113230居當州洪福寺,,,,,135.0
153,113230,307,663,20,,,,,,,,,9599.0,14179,,元代釋法喜113230居平江雙塔寺,,,,,136.0
154,113232,255,509,20,,,,,,,,,9599.0,14181,,元代釋法聞113232居居大普慶寺,,,,,137.0
155,113232,382,831,20,,,,,,,,,9599.0,14181,,元代釋法聞113232居長安義善寺,,,,,138.0
156,113233,2,3,20,,,,,,,,,9599.0,14182,,元代釋法憶113233居雞足山安定寺,,,,,139.0
157,113236,196,369,20,,,,,,,,,9599.0,14185,,元代釋持定113236居酃縣靈雲寺,,,,,140.0
158,113238,26,50,20,,,,,,,,,9599.0,14187,,元代釋洪益113238居石龍山寶林寺,,,,,141.0
